Parameter,Value,Project_IRR,Equity_IRR,NPV_USD,Payback_Years
Revenue,0.8,0.018477781983579595,0.034360978630304184,-28896035.03228198,20.0
Revenue,0.9,0.033516098282480415,0.04544837936511396,-24620217.18332338,19.0
Revenue,1.0,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Revenue,1.1,0.059324394450605195,0.06436638931205806,-16109586.95233344,17.0
Revenue,1.2,0.07082156494123112,0.07251251186682049,-11868404.907868303,17.0
CAPEX,0.8,0.07146993494433693,0.07302309328321283,-9303549.947578043,17.0
CAPEX,0.9,0.05831483277720391,0.06366652299392792,-14827159.47218831,18.0
CAPEX,1.0,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
CAPEX,1.1,0.037028831786658487,0.04797739527894808,-25895994.773011483,18.0
CAPEX,1.2,0.028092607507626224,0.04144950228787282,-31447590.211658183,19.0
OPEX,0.8,0.05145946490679443,0.058589779159160235,-18845470.157729145,18.0
OPEX,0.9,0.04925349512004871,0.05698717826081472,-19598119.577263862,18.0
OPEX,1.0,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
OPEX,1.1,0.04475172856036051,0.05368607674273058,-21103453.9853015,18.0
OPEX,1.2,0.042428674682164894,0.052008034127519226,-21861724.02186154,18.0
Interest_Rate,0.01,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Interest_Rate,0.02,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Interest_Rate,0.03,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Interest_Rate,0.04,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Interest_Rate,0.05,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Discount_Rate,0.08,0.047018129198877566,0.05535313354688433,-14541242.06174033,18.0
Discount_Rate,0.1,0.047018129198877566,0.05535313354688433,-20350768.996798594,18.0
Discount_Rate,0.12,0.047018129198877566,0.05535313354688433,-24718784.967880297,18.0
Discount_Rate,0.14,0.047018129198877566,0.05535313354688433,-28067096.62063678,18.0
